"automatic_water_benchmarking_eligible","bbl_on_the_covered_buildings_list","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","council_district","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identification_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"Yes","Yes",,,"MANHATTAN","99",,"4","3","218.4","In Compliance ","1","213330","Not Available","288.8","40.752732","-74.004198","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007010001","Self-Storage Facility","2587268","1080333","215814","None","35.2","70.7","  11 AVENUE         ","302","507.1","32.4","67.8","10001"
"No","Yes",,"1012336","MANHATTAN","99",,"4","3","208.3","In Compliance ","1","141934","Not Available","174.2","40.748159","-74.005305","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1006940047","Self-Storage Facility","2587287","1012336","131835","None","45.7","81.3","WEST   23 STREET    ","524","382.6","42.3","77.7","10011"
"No","Yes",,"1045287","MANHATTAN","10602",,"8","5","125","In Compliance ","1","177920","Not Available","394.7","40.761302","-73.960188","0.97","Lenox Hill-Roosevelt Island                                                ","1014560035","Self-Storage Facility","2587434","1045287","193270","Manual","36.8","90.1","EAST   62 STREET    ","406","519.7","34.6","87.4","10065"
"No","Yes",,"1006080","MANHATTAN","3602",,"3","2","62.9","In Compliance ","1","52497","Not Available","68.1","40.7246","-73.990569","Not Available","East Village                                                               ","1004430005","Self-Storage Facility","2587536","1006080","55000","None","36.5","69.5","   2 AVENUE         ","28","131","33.7","66.3","10003"
"No","Yes",,"1043149","MANHATTAN","128",,"8","4","13.7","In Compliance ","1","191549","48","952.3","40.771795","-73.95912","Not Available","Upper East Side-Carnegie Hill                                              ","1014100033","Multifamily Housing","2587540","1043149","145000","None","98.1","138","   3 AVENUE         ","1308","966","98.2","138.3","10021"
"No","Yes",,"1003205","MANHATTAN","8",,"3","1","157.7","In Compliance ","1","274752","Not Available","678.8","40.709452","-73.99433","Not Available","Chinatown                                                                  ","1002500001","Self-Storage Facility","2587541","1003205","255084","None","43.7","113","SOUTH STREET        ","220","836.5","41.2","109.7","10002"
"Yes","Yes",,"1081588","MANHATTAN","193",,"7","7","52.6","In Compliance ","1","113886","Not Available","193.1","40.800158","-73.962967","Not Available","Morningside Heights                                                        ","1018610040","Self-Storage Facility","2587543","1081588","113886","None","29.1","73.3","WEST  107 STREET    ","108","245.7","27.5","71.3","10025"
"Yes","Yes",,"1081440","MANHATTAN","162",,"11","8","99.2","In Compliance ","1","257400","Not Available","465.4","40.792278","-73.938114","1.6","East Harlem South                                                          ","1017040001","Self-Storage Facility","2587548","1081440","222200","Manual","33.7","88.1","   1 AVENUE         ","2138","564.6","32","85.9","10029"
"Yes","Yes",,"1012299","MANHATTAN","99",,"4","3","121","In Compliance ","1","124385","Not Available","65.2","40.746767","-74.005991","0.55","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1006920041","Self-Storage Facility","2587768","1012299","115123","Manual","21","35.7","WEST   21 STREET    ","510","186.1","18.8","33.5","10011"
"No","Yes",,"3328935","BROOKLYN            ","330",,"13","47","363.8","In Compliance ","1","139712","29","681.4","40.578674","-74.000299","Not Available","Seagate-Coney Island                                                       ","3069630003","Multifamily Housing","2587818","3328935","195001","None","77.3","169.2","WEST   33 STREET    ","2730","1045.2","76.6","167.3","11224"
"No","Yes",,,"QUEENS",,,,,"218.7","In Compliance ","30","483292","1","62",,,"Not Available",,"4071170002","Multifamily Housing","2640581","4444005","13800","None","352.5","483.4","  73 AVENUE         ","   189-15","280.7","352.6","483.6","11366"
"No","Yes",,"1012309","MANHATTAN","99",,"4","3","37.3","In Compliance ","1","91591","Not Available","78.9","40.746918","-74.006301","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1006930014","Self-Storage Facility","2587898","1012309","91958","None","18","40.5","WEST   21 STREET    ","531","116.2","17.2","39.7","10011"
"Yes","Yes",,"1064883","MANHATTAN","303",,"12","10","198.2","In Compliance ","1","377493","Not Available","1570.5","40.868911","-73.917524","Not Available","Marble Hill-Inwood                                                         ","1022310001","Self-Storage Facility","2587913","1064883","Not Available","Manual",,"Not Available","BROADWAY            ","5020","1768.7","Not Available","Not Available","10034"
"No","Yes",,"3002094","BROOKLYN            ","9",,"2","33","793.9","In Compliance ","1","293137","88","944.1","40.693244","-73.99066","Not Available","Brooklyn Heights-Cobble Hill                                               ","3002500001","Office","2587952","3002094","293000","None","89.9","175.6","COURT STREET        ","26","1738","86.6","171.8","11242"
"No","Yes",,"1080159","MANHATTAN","37",,"2","3","206.3","In Compliance ","1","164791","Not Available","268.6","40.726547","-74.00565","1.73","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005800022","Self-Storage Facility","2589255","1080159","177093","Manual","40.2","80.5","VARICK STREET       ","157","474.9","36.1","75.8","10013"
"No","Yes",,"1057082","MANHATTAN","187",,"7","6","564.6","In Compliance ","1","91615","57","103.2","40.796688","-73.972176","33.4","Upper West Side                                                            ","1018880015","Multifamily Housing","2589282","1057082","91615","Manual","95.7","125.7","WEST END AVENUE     ","781","667.8","90.4","120.3","10025"
"No","Yes",,"1014474","MANHATTAN","113",,"5","3","0","In Compliance ","1","146377","97","385.2","40.75423","-73.990468","Not Available","Midtown-Midtown South                                                      ","1007880011","Office","2590256","1014474","152439","None","30.5","95.7","WEST   38 STREET    ","263","385.2","30.7","96.3","10018"
"Yes","Yes",,"1063455","MANHATTAN","255",,"12","10","0","In Compliance ","1","54562","100","10.6","40.847448","-73.941066","26.56","Washington Heights South                                                   ","1021390578","Multifamily Housing","2590300","Not Available","84800","Manual","1.5","4.7","WEST  176 STREET    ","824","10.6","1.5","4.7","10033"
"No","Yes",,"1063451","MANHATTAN","255",,"12","10","234.5","In Compliance ","1","52326","92","13.4","40.847544","-73.94064","Not Available","Washington Heights South                                                   ","1021390537","Multifamily Housing","2590314","Not Available","62000","None","73.8","83","SOUTH PINEHURST AVE ","2","247.9","70.1","79","10033"
"No","Yes",,"1031783","MANHATTAN","165",,"7","6","1","In Compliance ","1","53111","100","8.9","40.783473","-73.977002","29.12","Upper West Side                                                            ","1012100055","Multifamily Housing","2590317","Not Available","70000","Manual","1.8","5.1","WEST   80 STREET    ","150","9.9","1.8","5.1","10024"
"No","Yes",,"1064458","MANHATTAN","279",,"12","10","66.9","In Compliance ","1","74356","100","15.7","40.855513","-73.93324","Not Available","Washington Heights North                                                   ","1021800480","Multifamily Housing","2590318","Not Available","85000","None","12.8","17.7","BROADWAY            ","4411","82.6","Not Available","Not Available","10040"
"Yes","Yes",,,"QUEENS",,,,,"568.9","In Compliance ","1","123914","16","418.9",,,"70.14",,"4098380062","Multifamily Housing","4397962","4210455","124000","ABS","127.1","218.6"," 167 STREET         ","    87-50","987.8","126.2","217.6","11432"
"No","Yes",,"1072630","MANHATTAN","126",,"8","5","20.2","In Compliance ","1","223754","24","1355.3","40.766725","-73.959416","Not Available","Lenox Hill-Roosevelt Island                                                ","1014447501","Multifamily Housing","2591141","1072630","227557","None","85.9","145.9","EAST   69 STREET    ","301","1375.5","85.7","145.4","10021"
"No","Yes",,"1001241","MANHATTAN","21",,"1","1","1899.4","In Compliance ","1","480831","81","1691.1","40.71187","-74.008217","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1000880018","Office","2591226","1001241","461731","None","99.8","195","BROADWAY            ","225","3590.5","95.8","190.4","10007"
"No","Yes",,"1000044","MANHATTAN","13",,"1","1","15.2","In Compliance ","1","434220","69","3203.8","40.705354","-74.013731","Not Available","Battery Park City-Lower Manhattan                                          ","1000130005","Office","2591254","1000044","423348","None","99.8","235.2","BROADWAY            ","11","3219","98.9","234.1","10004"
"No","Yes",,"1079040","MANHATTAN","1502",,"1","1","608.8","In Compliance ","1","150000","65","694.3","40.709493","-74.01024","Not Available","Battery Park City-Lower Manhattan                                          ","1000640015","Office","2591375","1079040; 1079037; 1079038; 1079039","145000","None","114.9","239.2","BROADWAY            ","160","1303.1","105.8","230","10038"
"No","Yes",,"1015575","MANHATTAN","58",,"5","3","1082","In Compliance ","1","219718","72","1278.4","40.743004","-73.992721","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008250001","Office","2591543","1015575","372545","None","96.1","187.3","AVENUE OF THE AMER  ","716","2360.4","92.1","183.6","10010"
"No","Yes",,"1034502","MANHATTAN","96",,"5","4","0","In Compliance ","1","248896","60","2046.6","40.758404","-73.981504","20.94","Midtown-Midtown South                                                      ","1012630071","Office","2591915","1034502","247919","Manual","113","224.1","AVENUE OF THE AMER  ","1212","2046.6","110.8","221.5","10036"
"No","Yes",,"1001167","MANHATTAN","1502",,"1","1","0","In Compliance ","1","296076","81","1948","40.707671","-74.005764","Not Available","Battery Park City-Lower Manhattan                                          ","1000750030","Office","2591922","1001167","298776","None","86.3","196.6","JOHN STREET         ","111","1948","81.5","190.9","10038"
"No","Yes",,"1048515","MANHATTAN","138",,"8","5","837.8","In Compliance ","1","281825","54","513","40.773495","-73.954949","Not Available","Yorkville                                                                  ","1015250021","Multifamily Housing","2591965","1048515","310000","None","70.8","116.1","   2 AVENUE         ","1523","1350.8","70.8","116.1","10075"
"Yes","Yes",,,"QUEENS",,,,,"381.3","In Compliance ","1","80754","31","89.4",,,"Not Available",,"4014450034","Multifamily Housing","2592027","Not Available","80754","None","102.2","135.3","  35 AVENUE         ","    84-09","470.7","97.6","130.4","11372"
"Yes","Yes",,"2115806","BRONX               ","185",,"3","16","280.8","In Compliance ","1","110544","92","96.8","40.827978","-73.908755","54.85","Morrisania-Melrose                                                         ","2023870032","Multifamily Housing","2592635","2115806","103856","ABS","68.8","95.4","WASHINGTON AVENUE   ","1085","377.5","66.8","93.5","10456"
"Yes","Yes",,,"QUEENS",,,,,"332.4","In Compliance ","1","67810","Not Available","61.2",,,"23.13",,"4033530059","Multifamily Housing","2652071","4080122","74591","ABS","69","90.8","LEFFERTS BOULEVARD  ","    80-40","393.6","69.1","90.9","11415"
"No","Yes",,"1087764","MANHATTAN","47",,"2","1","104.6","In Compliance ","1","189986","24","1711.9","40.721634","-74.004412","66.21","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1002270028","Hotel","2593250","1087764","189986","Manual","129.5","283.4","WEST BROADWAY       ","306","1816.5","128","282.6","10013"
"No","Yes",,"3083089","BROOKLYN            ","1098",,"18","42","1673.6","In Compliance ","1","131625","1","1264.7","40.650545","-73.906619","2.65","East New York                                                              ","3036500001","Non-Refrigerated Warehouse","2594233","3083089","130000","Manual","359.7","622.8","AVENUE D            ","9801","2938.3","349.9","612.5","11236"
"No","Yes",,"1050342","MANHATTAN","15601",,"8","5","143.1","In Compliance ","1","62500","76","88.9","40.784021","-73.94724","45.24","Yorkville                                                                  ","1015580050","Multifamily Housing","2595424","1050342","64198","Manual","58.6","96.5","   2 AVENUE         ","1852","231.9","Not Available","Not Available","10128"
